MASS_PLANET_OBS   MASS_PLANET_SIGMA RADIUS_PLANET RADIUS_PLANET_SIGMA PERIOD ENFRAC  H_OBS  H_SIGMA  K_OBS K_SIGMA
 9.3 1.1 1.77 0.21 36.7663 9.e-05 -0.02  0.23 -0.06  0.15
 6.2 3.5 1.61 0.19  1.7344 3.e-05  0.12  0.12  0.27  0.15
17.0 4.9 2.02 0.24 13.4773 1.e-04 -0.29  0.23 -0.28  0.20
 4.4 5.7 1.46 0.18 37.8525 1.e-05  0.16  0.14  0.09  0.34
 3.9 1.8 1.25 0.15  1.3449 7.e-05  0.22  0.07 -0.34  0.22
21.7 2.7 2.11 0.25 13.3943 3.e-05 -0.07  0.16  0.39  0.18
 3.2 1.6 1.35 0.16 20.3179 2.e-05  0.24  0.19 -0.33  0.36
 3.8 4.9 1.58 0.19 30.6185 5.e-04 -0.02  0.18 -0.08  0.28
 4.7 4.5 1.92 0.23 21.7993 3.e-03 -0.28  0.22  0.32  0.39
 9.6 2.5 2.02 0.24  2.8348 8.e-04 -0.04  0.23  0.35  0.24
 4.8 4.8 2.54 0.30 17.4333 2.e-02 -0.33  0.10  0.21  0.16
 1.5 1.8 1.12 0.13  6.4110 1.e-05 -0.17  0.07 -0.38  0.24
28.2 5.6 2.23 0.27 17.0855 4.e-05 -0.24  0.08  0.36  0.39
 9.1 5.0 3.37 0.40 71.8296 7.e-02  0.08  0.13 -0.35  0.20
11.9 3.0 1.92 0.23  7.8938 3.e-04  0.12  0.08 -0.15  0.27
 6.9 1.1 1.67 0.20 26.3091 2.e-04  0.41  0.08 -0.10  0.23
 4.8 1.3 1.83 0.22 72.3765 2.e-03  0.13  0.22 -0.42  0.16
 2.3 4.9 1.30 0.16  5.3757 2.e-04  0.24  0.15 -0.21  0.20
25.7 5.8 2.76 0.33 16.2829 9.e-03  0.16  0.06 -0.36  0.21
 9.5 4.5 1.97 0.24 44.7369 1.e-03 -0.04  0.14 -0.18  0.22
22.6 2.8 2.13 0.26  4.7885 4.e-05 -0.09  0.25 -0.24  0.35
16.2 4.8 2.00 0.24  3.9801 1.e-04  0.03  0.23 -0.05  0.28
29.0 4.2 2.25 0.27  8.1528 7.e-05 -0.29  0.11 -0.08  0.27
 7.0 4.5 3.75 0.45 41.5504 9.e-02 -0.42  0.06  0.06  0.27
 7.9 1.2 1.69 0.20  7.0562 1.e-05 -0.09  0.22  0.33  0.36
 6.3 5.4 3.28 0.39 10.1814 6.e-02  0.09  0.11  0.05  0.32
11.1 3.4 1.82 0.22  4.6983 1.e-05  0.19  0.25  0.06  0.28
10.5 4.0 2.00 0.24 75.5206 1.e-03  0.03  0.20  0.13  0.12
14.9 1.8 3.34 0.40 12.9744 5.e-02 -0.06  0.09  0.16  0.30
26.0 3.1 2.18 0.26 17.8940 1.e-05  0.28  0.08  0.21  0.18
15.7 2.1 1.96 0.24 59.9353 1.e-05  0.04  0.15  0.14  0.17
10.1 1.2 2.61 0.31  1.4331 1.e-02 -0.25  0.07 -0.03  0.33
 5.1 1.8 3.36 0.40 79.6750 7.e-02  0.00  0.14  0.00  0.12
15.7 1.3 1.96 0.24 64.5687 1.e-05  0.04  0.19 -0.01  0.12
27.6 4.8 2.46 0.30 60.6641 1.e-03 -0.11  0.06  0.23  0.36
23.2 5.9 2.32 0.28 94.0522 9.e-04  0.24  0.12  0.15  0.36
 3.3 1.4 1.84 0.22 78.5979 4.e-03  0.26  0.17 -0.07  0.31
 6.0 4.2 2.12 0.25 37.1111 6.e-03  0.03  0.24 -0.19  0.38
22.0 5.5 2.56 0.31 35.0836 7.e-03  0.41  0.11 -0.05  0.25
 7.4 5.7 1.66 0.20 22.8382 2.e-05 -0.20  0.08 -0.19  0.22
 2.2 3.4 1.34 0.16 28.1853 3.e-04  0.07  0.14  0.06  0.14
 3.0 3.0 2.47 0.30 12.3574 2.e-02 -0.31  0.08 -0.16  0.25
12.5 5.6 1.87 0.22 61.6822 2.e-05 -0.02  0.20  0.03  0.14
10.0 3.4 1.78 0.21 66.9887 2.e-05  0.12  0.21 -0.06  0.13
20.2 3.9 2.18 0.26 98.9380 5.e-04 -0.18  0.20  0.20  0.12
 1.5 1.4 1.12 0.13 20.2654 3.e-05  0.27  0.06 -0.28  0.31
 6.1 2.7 1.60 0.19 94.9124 6.e-05 -0.44  0.24 -0.02  0.23
 3.2 2.2 1.48 0.18  2.1980 6.e-02 -0.27  0.22 -0.20  0.33
14.8 5.5 2.36 0.28  1.2204 1.e-03 -0.21  0.17  0.07  0.38
 7.8 5.6 1.98 0.24 24.5564 2.e-03 -0.05  0.21  0.08  0.20
 9.2 3.6 2.55 0.31 15.3886 2.e-02  0.26  0.08  0.09  0.18
 9.7 1.7 1.77 0.21 18.1402 6.e-05  0.03  0.14 -0.01  0.30
26.6 3.8 2.19 0.26  7.0477 1.e-05  0.09  0.09  0.03  0.28
14.7 2.2 1.93 0.23  6.9088 1.e-05  0.00  0.07  0.00  0.39
 3.2 3.9 1.51 0.18 29.4955 5.e-04 -0.30  0.09  0.05  0.20
 2.3 2.3 1.25 0.15 17.3618 1.e-05 -0.09  0.13  0.03  0.31
 7.4 1.8 1.66 0.20 58.1532 2.e-05 -0.25  0.23 -0.13  0.19
23.9 5.4 2.14 0.26  9.9016 2.e-05  0.27  0.06  0.36  0.15
 6.3 4.3 1.74 0.21 33.1253 6.e-04  0.29  0.16  0.27  0.26
13.2 3.5 2.70 0.32 34.1615 2.e-02  0.08  0.16  0.13  0.28
28.6 3.7 2.25 0.27  3.1608 8.e-05  0.00  0.17 -0.02  0.36
12.7 3.3 1.96 0.24 11.4538 4.e-04 -0.13  0.15 -0.08  0.32
 1.2 5.7 2.03 0.24 53.5269 1.e-02  0.06  0.20 -0.07  0.23
11.1 1.3 1.88 0.23  2.1753 2.e-04  0.27  0.07  0.00  0.38
 6.3 3.4 2.07 0.25 33.6152 5.e-03 -0.26  0.13  0.10  0.20
 3.6 4.5 1.41 0.17 33.8759 2.e-05 -0.13  0.15  0.06  0.22
 2.7 4.8 1.26 0.15  1.7321 1.e-05 -0.08  0.16 -0.42  0.16
27.4 2.1 2.86 0.34 12.4157 1.e-02 -0.13  0.23  0.20  0.18
 7.7 4.7 1.68 0.20  5.1473 1.e-05 -0.18  0.07 -0.14  0.33
25.8 3.3 2.25 0.27  1.5634 2.e-04 -0.05  0.09  0.19  0.31
18.6 4.9 2.34 0.28  4.1372 1.e-03 -0.01  0.06 -0.04  0.21
 7.3 5.5 1.97 0.24 23.3076 2.e-03 -0.03  0.21  0.03  0.21
 1.9 5.5 1.64 0.20 24.7080 1.e-03  0.00  0.14 -0.01  0.27
12.7 5.0 1.88 0.23 12.2479 1.e-05  0.10  0.08  0.19  0.33
12.1 3.7 1.86 0.22 10.7326 1.e-05  0.01  0.15 -0.03  0.28
14.7 2.6 2.65 0.32 51.4728 2.e-02 -0.14  0.12 -0.34  0.36
25.9 1.4 2.20 0.26 55.1968 9.e-05  0.15  0.25  0.30  0.12
24.2 3.8 2.43 0.29  3.0814 1.e-03 -0.41  0.21  0.17  0.23
 7.9 3.2 2.88 0.35  2.4294 3.e-02  0.07  0.07 -0.34  0.12
11.6 1.7 1.84 0.22  3.4486 1.e-05 -0.06  0.15 -0.40  0.37
 7.9 2.9 3.02 0.36 51.6455 5.e-02  0.16  0.13 -0.21  0.18
 5.4 1.5 2.07 0.25 67.3396 6.e-03  0.15  0.17  0.00  0.33
 5.8 2.0 1.63 0.20  2.2305 2.e-04 -0.17  0.22 -0.01  0.13
22.0 5.5 2.45 0.29 26.0711 3.e-03 -0.17  0.12 -0.12  0.22
29.1 3.6 2.30 0.28  8.2589 2.e-04  0.19  0.13  0.12  0.24
10.2 2.2 2.27 0.27 58.5117 7.e-03  0.14  0.07 -0.01  0.20
20.6 5.6 2.40 0.29  8.3973 2.e-03 -0.17  0.11 -0.19  0.16
17.8 2.9 2.21 0.27 79.0869 1.e-03 -0.10  0.14  0.22  0.22
16.6 2.9 1.99 0.24  1.6493 4.e-05  0.04  0.14 -0.03  0.27
26.4 2.3 2.54 0.30 21.4569 3.e-03  0.27  0.07 -0.30  0.27
 9.8 5.1 1.83 0.22  7.0587 2.e-04  0.20  0.08  0.03  0.13
18.2 5.0 2.10 0.25 52.2999 4.e-04  0.15  0.08 -0.02  0.11
 5.4 1.4 2.57 0.31  3.9401 2.e-02  0.08  0.23 -0.13  0.27
 5.3 1.2 1.53 0.18  6.1340 1.e-05  0.16  0.22 -0.15  0.28
 2.0 3.5 1.50 0.18 11.8457 8.e-04 -0.35  0.08 -0.15  0.27
22.3 3.0 2.11 0.25 14.5761 1.e-05 -0.22  0.17  0.22  0.10
16.3 5.8 1.98 0.24  4.6362 1.e-05  0.07  0.17 -0.04  0.11
 2.6 4.1 1.31 0.16 42.7924 1.e-04  0.06  0.19 -0.03  0.14
10.9 5.0 2.89 0.35 39.9044 4.e-02 -0.07  0.15  0.07  0.32
 1.4 5.9 1.10 0.13  4.6277 2.e-05 -0.12  0.21 -0.18  0.38
 2.7 3.8 1.39 0.17 14.6605 3.e-04  0.05  0.19 -0.22  0.18
17.7 3.9 2.02 0.24 17.4462 3.e-05  0.02  0.06  0.13  0.31
18.1 3.2 2.26 0.27 29.4073 1.e-03  0.23  0.12  0.09  0.18
13.1 4.8 1.98 0.24  3.3793 3.e-04  0.08  0.18 -0.01  0.32
 3.9 5.2 2.31 0.28 29.9018 1.e-02 -0.17  0.15  0.20  0.17
26.6 4.3 2.35 0.28 12.9182 6.e-04  0.32  0.20  0.14  0.32
10.4 3.1 1.79 0.21  7.7079 1.e-05 -0.06  0.13  0.05  0.31
 8.8 2.9 1.97 0.24 94.6968 1.e-03  0.19  0.19 -0.22  0.35
 2.5 4.0 1.29 0.15 40.8053 4.e-05  0.26  0.24 -0.35  0.25
 3.8 1.0 2.76 0.33 14.8505 3.e-02 -0.06  0.22  0.13  0.22
24.4 4.6 2.45 0.29  9.1127 1.e-03  0.17  0.22 -0.22  0.33
14.3 4.6 2.32 0.28  1.2428 2.e-03  0.00  0.15 -0.42  0.34
29.3 2.3 2.29 0.27  5.4503 2.e-04  0.24  0.12  0.19  0.23
14.0 3.6 2.86 0.34 14.2804 3.e-02  0.22  0.21 -0.15  0.39
 1.7 6.0 2.99 0.36 41.6306 4.e-02 -0.42  0.19 -0.02  0.39
 7.2 4.9 1.65 0.20 19.2521 3.e-05 -0.06  0.23 -0.19  0.23
19.3 1.6 2.06 0.25 15.0233 2.e-05  0.20  0.11 -0.02  0.31
 2.2 4.4 2.57 0.31 26.3811 2.e-02 -0.05  0.17 -0.09  0.29
11.4 1.1 1.88 0.23 11.0787 2.e-04 -0.04  0.19 -0.05  0.29
 2.7 3.2 1.17 0.14  1.6159 4.e-04  0.11  0.18  0.07  0.33
 3.5 3.8 1.93 0.23 91.0167 7.e-03  0.05  0.12  0.03  0.18
 6.2 3.9 1.62 0.19 16.3607 1.e-04 -0.11  0.19 -0.02  0.27
 4.6 4.2 2.55 0.31 52.2264 2.e-02 -0.22  0.23 -0.18  0.26
11.7 2.7 1.85 0.22  6.5873 3.e-05 -0.09  0.06 -0.11  0.15
11.9 4.6 1.86 0.22  1.9904 4.e-05  0.03  0.15  0.02  0.35
 6.0 1.3 1.59 0.19  2.9606 2.e-05  0.20  0.22 -0.23  0.25
16.2 2.5 2.23 0.27 13.8792 1.e-03 -0.05  0.07 -0.04  0.29
13.6 4.4 2.63 0.32  9.8006 1.e-02  0.35  0.24 -0.12  0.36
22.9 1.8 2.13 0.26 86.5058 2.e-05  0.04  0.11 -0.30  0.31
13.6 5.3 2.26 0.27 85.6930 4.e-03 -0.02  0.06  0.19  0.25
 4.2 3.7 1.52 0.18  1.9926 2.e-04  0.05  0.15 -0.12  0.38
23.7 1.1 3.18 0.38  2.5162 2.e-02  0.00  0.25  0.00  0.38
 2.2 5.3 1.09 0.13  2.2238 1.e-05  0.00  0.20  0.12  0.11
24.8 3.4 2.17 0.26 41.3474 7.e-05 -0.43  0.19 -0.08  0.25
 3.7 2.3 1.41 0.17  7.5825 1.e-05  0.04  0.15 -0.03  0.29
 8.5 3.3 1.74 0.21 30.8686 9.e-05 -0.01  0.18  0.00  0.13
 9.2 2.3 1.92 0.23  7.0190 6.e-04 -0.05  0.14  0.03  0.22
10.7 2.3 1.81 0.22  8.2803 3.e-05 -0.16  0.15 -0.24  0.31
10.6 3.0 1.86 0.22 20.1814 3.e-04  0.25  0.18  0.34  0.25
23.2 3.4 2.41 0.29 41.3336 2.e-03  0.26  0.19 -0.18  0.16
 8.5 1.8 1.72 0.21 39.0595 1.e-05 -0.25  0.13 -0.26  0.38
19.4 3.3 3.91 0.47 10.8316 8.e-02 -0.03  0.21  0.22  0.18
 1.1 3.0 1.72 0.21 30.2791 4.e-03  0.00  0.06  0.00  0.16
 5.9 4.2 1.65 0.20 35.2545 3.e-04  0.05  0.19  0.04  0.28
22.2 2.4 2.12 0.25 51.1736 3.e-05  0.07  0.11  0.00  0.36
15.9 1.9 1.97 0.24  1.4025 2.e-05  0.04  0.19  0.12  0.17
13.6 1.1 1.91 0.23  6.5883 2.e-05  0.23  0.11  0.31  0.20
16.2 2.8 1.99 0.24  1.7055 6.e-05  0.00  0.12  0.03  0.21
 8.4 2.5 1.73 0.21  3.5040 6.e-05  0.03  0.08  0.05  0.19
19.5 5.7 2.06 0.25  3.7843 2.e-05  0.25  0.15  0.10  0.23
 3.0 6.0 2.53 0.30  7.5090 6.e-02  0.15  0.23 -0.14  0.20
 5.4 4.1 1.57 0.19 48.2285 1.e-04  0.06  0.06  0.07  0.31
 4.5 5.0 3.83 0.46 78.8344 1.e-01 -0.01  0.21 -0.01  0.13
27.6 4.3 2.33 0.28 10.0396 4.e-04 -0.38  0.09  0.00  0.29
 2.7 5.4 1.32 0.16  1.9213 8.e-05 -0.01  0.19 -0.23  0.37
13.7 2.0 2.49 0.30  8.1628 9.e-03 -0.12  0.10 -0.11  0.26
 5.2 5.0 1.93 0.23  3.9092 1.e-02  0.12  0.19 -0.14  0.13
 3.1 2.1 1.20 0.14  2.1304 2.e-05  0.30  0.20 -0.13  0.39
10.2 2.0 2.63 0.32 10.7246 2.e-02 -0.06  0.12  0.01  0.34
23.9 1.5 2.17 0.26 13.9458 1.e-04 -0.13  0.16 -0.17  0.19
17.8 4.6 2.07 0.25 22.8873 3.e-04 -0.21  0.09 -0.10  0.31
 8.5 3.5 2.61 0.31  3.2618 4.e-02  0.30  0.17  0.00  0.35
 8.7 4.8 2.41 0.29 43.4532 1.e-02  0.03  0.24  0.28  0.25
29.8 3.6 3.11 0.37  8.6831 2.e-02 -0.10  0.16  0.23  0.15
16.0 1.7 1.97 0.24 90.3558 1.e-05  0.01  0.10 -0.28  0.21
 4.5 6.0 1.50 0.18 61.0452 1.e-04  0.25  0.07  0.20  0.17
 1.5 1.2 1.72 0.21  9.8134 5.e-03 -0.42  0.07 -0.08  0.32
11.5 2.5 1.83 0.22 53.2571 2.e-05  0.00  0.21  0.09  0.14
 9.5 3.8 1.76 0.21  1.8377 2.e-05  0.07  0.20  0.05  0.23
17.3 4.0 3.91 0.47 27.7346 9.e-02  0.13  0.22  0.31  0.24
19.0 5.3 2.05 0.25 25.9148 1.e-05  0.03  0.24 -0.17  0.35
 2.4 4.2 1.31 0.16 12.4854 1.e-04 -0.28  0.05  0.08  0.15
24.2 2.9 2.21 0.27 31.2895 3.e-04  0.18  0.12 -0.01  0.31
10.9 5.3 1.81 0.22 61.1182 2.e-05  0.00  0.18  0.02  0.40
27.9 3.7 2.22 0.27 59.1546 4.e-05  0.05  0.11 -0.03  0.16
 4.6 2.0 3.85 0.46 45.8413 1.e-01 -0.03  0.08 -0.19  0.16
 3.0 5.1 1.78 0.21 34.5905 3.e-03  0.26  0.13  0.07  0.28
10.3 5.4 3.82 0.46  5.6604 8.e-02 -0.37  0.21  0.01  0.40
11.9 4.3 2.10 0.25 88.3457 2.e-03 -0.27  0.23 -0.04  0.16
13.6 5.6 2.28 0.27  4.4901 2.e-03  0.20  0.05  0.37  0.20
23.8 5.3 2.16 0.26 26.8613 1.e-04  0.24  0.13 -0.30  0.16
 5.1 3.2 1.55 0.19 49.7671 2.e-04 -0.11  0.09  0.13  0.24
 9.7 4.9 1.85 0.22 27.1115 4.e-04 -0.03  0.24  0.44  0.29
 7.3 2.0 2.57 0.31  3.1937 1.e-02 -0.27  0.11 -0.14  0.18
 9.0 4.7 1.74 0.21  3.4187 1.e-05  0.02  0.13  0.41  0.36
25.0 3.3 2.33 0.28 15.8651 7.e-04  0.19  0.18 -0.01  0.34
 2.6 3.8 1.28 0.15  6.7172 1.e-05  0.18  0.20 -0.26  0.12
 3.8 1.1 2.87 0.34 53.3897 4.e-02  0.27  0.23 -0.32  0.31
20.3 3.2 2.21 0.27  1.3314 4.e-04 -0.11  0.25 -0.11  0.30
11.1 5.6 2.30 0.28 16.4573 5.e-03 -0.25  0.10  0.08  0.25
 2.3 2.9 1.91 0.23 72.2225 7.e-03 -0.37  0.11 -0.05  0.38
 6.5 2.1 1.62 0.19 13.6398 4.e-05 -0.09  0.12 -0.20  0.26
12.0 3.7 1.67 0.20  1.3826 4.e-04 -0.17  0.09  0.15  0.14
21.0 3.2 2.14 0.26  1.4460 2.e-04 -0.17  0.22  0.11  0.11
11.0 3.4 2.22 0.27 43.9509 5.e-03 -0.02  0.11  0.01  0.26
21.8 5.3 2.11 0.25 15.4911 2.e-05  0.33  0.22  0.15  0.25
 1.3 4.9 1.34 0.16 98.8207 9.e-04 -0.09  0.21 -0.09  0.13
 3.9 3.2 1.43 0.17  5.6386 2.e-05 -0.15  0.20 -0.05  0.17
 1.3 3.6 1.07 0.13  9.4166 2.e-05  0.20  0.17  0.34  0.39
13.1 2.5 2.83 0.34 56.2656 3.e-02  0.05  0.13  0.17  0.21
 1.4 3.5 1.86 0.22 12.8546 6.e-02 -0.36  0.17 -0.03  0.21
14.2 2.6 1.93 0.23  8.3616 4.e-05  0.14  0.07 -0.04  0.26
 2.9 1.9 1.34 0.16  7.8234 4.e-05 -0.03  0.21  0.42  0.21
 7.9 1.5 1.93 0.23  1.0477 2.e-02 -0.38  0.22 -0.06  0.35
17.5 2.3 2.02 0.24  5.5352 7.e-05  0.06  0.18  0.06  0.36
 8.1 1.3 1.74 0.21  1.2174 1.e-04  0.13  0.24 -0.02  0.10
23.1 4.7 2.13 0.26 20.7683 3.e-05 -0.09  0.22 -0.08  0.16
 3.7 4.4 1.50 0.18  2.2894 3.e-03 -0.27  0.13 -0.32  0.11
 3.2 1.2 1.67 0.20 11.1228 8.e-04  0.14  0.14  0.15  0.17
 2.6 3.6 1.06 0.13  2.2624 2.e-03 -0.27  0.07  0.00  0.30
 3.2 5.1 1.44 0.17 85.4957 3.e-04  0.24  0.14  0.25  0.35
24.5 2.2 2.15 0.26 24.1783 1.e-05  0.26  0.07  0.16  0.37
 5.7 2.0 1.68 0.20  1.7500 4.e-04 -0.29  0.07 -0.22  0.11
21.4 4.7 2.10 0.25 23.8527 4.e-05  0.06  0.25  0.11  0.27
27.4 3.1 2.21 0.27 28.9602 1.e-05  0.07  0.17 -0.12  0.23
 3.6 1.2 1.42 0.17  3.4216 5.e-05  0.20  0.11  0.10  0.32
 7.1 5.8 1.69 0.20  8.2663 2.e-04 -0.29  0.20  0.03  0.25
30.0 1.9 2.26 0.27 13.3253 4.e-05  0.21  0.11  0.06  0.25
29.5 4.7 2.25 0.27  1.4000 3.e-05 -0.15  0.20 -0.25  0.34
 5.7 5.3 1.57 0.19  3.9171 3.e-05  0.35  0.07  0.24  0.14
20.2 1.4 2.17 0.26  3.7184 4.e-04 -0.10  0.18 -0.24  0.35
 1.4 4.0 1.18 0.14 16.9631 2.e-04  0.23  0.22 -0.07  0.13
18.3 1.2 2.88 0.35 87.7089 3.e-02  0.11  0.23 -0.27  0.16
 4.8 5.5 1.54 0.18 46.7494 2.e-04  0.36  0.06 -0.26  0.12
23.6 2.1 2.14 0.26  3.7727 1.e-05  0.30  0.23  0.26  0.34
 1.8 2.5 1.21 0.15 18.0186 1.e-04  0.36  0.20  0.11  0.17
24.9 2.2 2.45 0.29 81.9242 2.e-03  0.02  0.24  0.05  0.12
14.3 2.3 1.94 0.23 11.8732 1.e-04 -0.09  0.15  0.01  0.26
24.3 2.7 3.88 0.47 22.9041 8.e-02  0.35  0.12  0.26  0.16
 4.8 4.8 1.94 0.23  5.2612 2.e-03  0.19  0.24 -0.10  0.24
 3.9 4.1 1.42 0.17 27.3099 1.e-05  0.24  0.19 -0.32  0.23
 4.0 5.7 1.44 0.17 38.4438 2.e-05  0.00  0.17  0.00  0.26
 1.7 5.3 1.14 0.14 21.1752 1.e-05  0.21  0.20  0.05  0.39
 5.9 4.5 1.57 0.19 12.3786 1.e-05 -0.02  0.18 -0.23  0.28
 6.9 5.8 2.08 0.25 13.8643 4.e-03  0.23  0.18 -0.23  0.33
 7.8 3.7 1.68 0.20 13.6786 1.e-05 -0.24  0.15  0.05  0.18
10.4 2.3 1.80 0.22  3.2572 4.e-05 -0.06  0.11  0.01  0.14
15.8 3.7 1.96 0.24  7.7318 1.e-05  0.01  0.08 -0.03  0.12
13.5 3.1 1.90 0.23 50.5652 1.e-05 -0.02  0.22 -0.43  0.40
23.6 3.0 2.23 0.27 83.3630 4.e-04 -0.04  0.13  0.03  0.30
10.2 3.6 2.19 0.26  1.8226 1.e-03 -0.25  0.07  0.00  0.20
 1.7 2.4 1.30 0.16 37.5813 5.e-04 -0.22  0.25 -0.27  0.36
 8.2 3.5 2.01 0.24  2.4546 9.e-04  0.32  0.22  0.15  0.37
14.0 3.1 2.29 0.27  8.0832 3.e-03  0.03  0.06  0.01  0.14
 5.2 4.8 2.60 0.31 70.9538 3.e-02 -0.08  0.19 -0.03  0.11
20.6 1.5 3.19 0.38 20.2754 4.e-02  0.29  0.11  0.33  0.29
 2.0 3.8 3.88 0.47 36.1637 8.e-02  0.00  0.25  0.19  0.13
 6.5 3.3 3.26 0.39  9.3583 6.e-02 -0.33  0.18  0.14  0.25
23.3 6.0 2.19 0.26  5.9729 2.e-04  0.10  0.13  0.14  0.20
19.8 2.1 2.38 0.29  2.1278 1.e-03  0.18  0.21 -0.05  0.20
11.0 1.9 2.06 0.25 75.1980 2.e-03  0.02  0.21  0.06  0.18
27.1 3.2 2.22 0.27  8.7924 1.e-04  0.18  0.23  0.14  0.38
10.2 2.9 1.78 0.21  3.1027 2.e-05  0.05  0.08  0.04  0.38
14.4 1.7 1.93 0.23  3.7462 1.e-05 -0.11  0.15  0.11  0.40
 9.5 3.6 2.03 0.24 61.5601 2.e-03 -0.05  0.21  0.02  0.18
12.5 5.5 1.96 0.24 35.5697 4.e-04  0.26  0.23  0.11  0.17
 7.0 1.0 2.50 0.30 30.3503 2.e-02  0.03  0.23 -0.01  0.29
 4.8 3.8 1.52 0.18  5.3553 8.e-05 -0.02  0.12 -0.02  0.16
 1.5 5.2 1.98 0.24 10.1137 2.e-02 -0.29  0.14  0.23  0.34
